Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time
1,1303187243,2, 1006876993, 1,300,0.002991914749145508, 0.015957355499267578
2,1303187243,2, 1079764566, 1,300,0.003000497817993164, 0.01595616340637207
3,1303187243,2, 1079764566, 1,300,0.003988742828369141, 0.01592230796813965
4,1303187243,2, 1079764566, 1,300,0.003984928131103516, 0.01496577262878418
5,1303187243,2, 1079764566, 1,300,0.002992391586303711, 0.015957117080688477
6,1303187243,2, 1079764566, 1,300,0.002994537353515625, 0.017914772033691406
7,1303187243,2, 1079764566, 1,300,0.0029914379119873047, 0.014958858489990234
8,1303187243,2, 1079764566, 1,300,0.003989219665527344, 0.016959190368652344
9,1303187243,2, 1079764566, 1,300,0.002991914749145508, 0.015957117080688477
10,1303187243,2, 1079764566, 1,300,0.0029938220977783203, 0.015921592712402344
11,1303187243,2, 1079764566, 1,300,0.00399327278137207, 0.015954256057739258
12,1303187243,2, 1079764566, 1,300,0.002992391586303711, 0.015955686569213867
13,1303187243,2, 1079764566, 1,300,0.002991199493408203, 0.01596236228942871
14,1303187243,2, 1079764566, 1,300,0.002988576889038086, 0.016921043395996094
15,1303187243,2, 1079764566, 1,300,0.003985881805419922, 0.01596236228942871
16,1303187243,2, 1079764566, 1,300,0.0029909610748291016, 0.016956806182861328
17,1303187243,2, 1079764566, 1,300,0.00299072265625, 0.016955137252807617
18,1303187243,2, 1079764566, 1,300,0.002991199493408203, 0.014962911605834961
19,1303187243,2, 1079764566, 1,300,0.003966331481933594, 0.02298140525817871
20,1303187243,2, 1079764566, 1,300,0.0029931068420410156, 0.015959501266479492
21,1303187243,2, 1079764566, 1,300,0.0029540061950683594, 0.017001867294311523
22,1303187243,2, 1079764566, 1,300,0.0029935836791992188, 0.015920639038085938
23,1303187243,2, 1079764566, 1,300,0.0029938220977783203, 0.015918970108032227
24,1303187243,2, 1079764566, 1,300,0.0039517879486083984, 0.01601266860961914
25,1303187243,2, 1079764566, 1,300,0.0029916763305664062, 0.016956090927124023
26,1303187243,2, 1079764566, 1,300,0.004987001419067383, 0.015995502471923828
27,1303187243,2, 1079764566, 1,300,0.0029935836791992188, 0.0199127197265625
28,1303187243,2, 1079764566, 1,300,0.0029916763305664062, 0.016953229904174805
29,1303187243,2, 1079764566, 1,300,0.0029938220977783203, 0.016956090927124023
30,1303187243,2, 1079764566, 1,300,0.004021406173706055, 0.01592540740966797
31,1303187243,2, 1079764566, 1,300,0.002992868423461914, 0.016919612884521484
32,1303187243,2, 1079764566, 1,300,0.0029916763305664062, 0.017943143844604492
33,1303187243,2, 1079764566, 1,300,0.004009246826171875, 0.016968965530395508
34,1303187243,2, 1079764566, 1,300,0.002989053726196289, 0.016918420791625977
35,1303187243,2, 1079764566, 1,300,0.0029914379119873047, 0.017984867095947266
36,1303187243,2, 1079764566, 1,300,0.003988504409790039, 0.016986608505249023
37,1303187243,2, 1079764566, 1,300,0.0029921531677246094, 0.017009973526000977
38,1303187243,2, 1079764566, 1,300,0.003971099853515625, 0.014923810958862305
39,1303187243,2, 1079764566, 1,300,0.003994464874267578, 0.016946792602539062
40,1303187243,2, 1079764566, 1,300,0.0029888153076171875, 0.016955852508544922
41,1303187243,2, 1079764566, 1,300,0.0039865970611572266, 0.0159609317779541
42,1303187243,2, 1079764566, 1,300,0.003989458084106445, 0.01595592498779297
43,1303187243,2, 1079764566, 1,300,0.0049495697021484375, 0.01599264144897461
44,1303187243,2, 1079764566, 1,300,0.0029954910278320312, 0.016948938369750977
45,1303187243,2, 1079764566, 1,300,0.002992868423461914, 0.0169217586517334
46,1303187243,2, 1079764566, 1,300,0.0029900074005126953, 0.015957117080688477
47,1303187243,2, 1079764566, 1,300,0.002993345260620117, 0.016958236694335938
48,1303187243,2, 1079764566, 1,300,0.0039577484130859375, 0.014954328536987305
49,1303187243,2, 1079764566, 1,300,0.004017829895019531, 0.01592707633972168
50,1303187243,2, 1079764566, 1,300,0.0029954910278320312, 0.01492452621459961

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 0.0033890628814697266, 100.0%, 83.0 to 101.0, 1.0
ODA-queue, 0.016533088684082032, 100.0%, 83.0 to 101.0, 4.878365867591151
